"filename", "language", "C++", "HLSL", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\FilterSaturate.fx", "HLSL", 0, 38, 0, 0, 5, 14, 57
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\GBuffer.fx", "HLSL", 0, 58, 0, 0, 1, 20, 79
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshInstancing.fx", "HLSL", 0, 42, 0, 0, 0, 9, 51
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshMix.fx", "HLSL", 0, 374, 0, 0, 95, 125, 594
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshNoLighting.fx", "HLSL", 0, 33, 0, 0, 0, 5, 38
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshNormalMapping.fx", "HLSL", 0, 76, 0, 0, 5, 18, 99
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshOld.fx", "HLSL", 0, 105, 0, 0, 59, 42, 206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshPOM.fx", "HLSL", 0, 156, 0, 0, 37, 52, 245
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshPointLight.fx", "HLSL", 0, 77, 0, 0, 7, 19, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSSS.fx", "HLSL", 0, 175, 0, 0, 12, 44, 231
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSSSLike.fx", "HLSL", 0, 86, 0, 0, 8, 19, 113
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshShader.fx", "HLSL", 0, 105, 0, 0, 59, 42, 206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSmooth.fx", "HLSL", 0, 61, 0, 0, 9, 15, 85
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectBloom.fx", "HLSL", 0, 91, 0, 0, 14, 23, 128
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectDepthBufferShadow.fx", "HLSL", 0, 195, 0, 0, 47, 68, 310
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectEnd.fx", "HLSL", 0, 39, 0, 0, 2, 5, 46
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectFog.fx", "HLSL", 0, 77, 0, 0, 12, 19, 108
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectGaussian.fx", "HLSL", 0, 71, 0, 0, 12, 20, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSSAO.fx", "HLSL", 0, 357, 0, 0, 18, 65, 440
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSaturate.fx", "HLSL", 0, 37, 0, 0, 5, 12, 54
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectStarBurst.fx", "HLSL", 0, 112, 0, 0, 13, 26, 151
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectZShadow.fx", "HLSL", 0, 206, 0, 0, 47, 69, 322
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\SkinAnimMeshShader.fx", "HLSL", 0, 84, 0, 0, 5, 26, 115
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\simple.fx", "HLSL", 0, 40, 0, 0, 0, 9, 49
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\resource.h", "C++", 49, 0, 0, 0, 0, 3, 52
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\simple.fx", "HLSL", 0, 38, 0, 0, 0, 9, 47
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.cpp", "C++", 13, 0, 0, 0, 0, 4, 17
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.vcxproj", "XML", 0, 0, 0, 173, 0, 0, 173
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.cpp", "C++", 1, 0, 0, 0, 2, 3, 6
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.h", "C++", 3, 0, 0, 0, 6, 4, 13
"Total", "-", 9243, 5259, 41, 1031, 1697, 4323, 21594
